L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
1.154882089916191290e-02,1.558055005309633978e-01,-1.276650626611453287e-01,-2.513608260197778832e-01,1.069142616377336263e-01,1.064130270249893512e-01
9.909681600477287730e-03,1.576445140400506983e-01,-1.279523132750899905e-01,-2.529569623215923713e-01,1.088343754948513514e-01,1.061009349337971586e-01
8.262041380644576105e-03,1.594946366606910249e-01,-1.282392446163969357e-01,-2.545597192991352342e-01,1.107669499479668196e-01,1.057861226261674892e-01
6.605926974116372447e-03,1.613558988426940788e-01,-1.285257227614076958e-01,-2.561690605185508174e-01,1.127119447826105680e-01,1.054682800053800967e-01
4.941364922624596687e-03,1.632283327068946854e-01,-1.288116376555109577e-01,-2.577849495692320914e-01,1.146693188515892498e-01,1.051471097200864790e-01
3.268381608675407710e-03,1.651119718219747623e-01,-1.290969022694213320e-01,-2.594073500731964854e-01,1.166390302255861378e-01,1.048223274193107457e-01
1.587003287482382542e-03,1.670068509912638055e-01,-1.293814517262320551e-01,-2.610362256944275816e-01,1.186210363379052585e-01,1.044936619418393026e-01
-1.027438827009273005e-04,1.689130060495588059e-01,-1.296652424037469942e-01,-2.626715401481558021e-01,1.206152941232743470e-01,1.041608554434270417e-01
-1.800833811875077531e-03,1.708304736699610971e-01,-1.299482510164236548e-01,-2.643132572100538313e-01,1.226217601506395805e-01,1.038236634652602575e-01
-3.507240451229747154e-03,1.727592911806871412e-01,-1.302304736810819263e-01,-2.659613407253242356e-01,1.246403907499021857e-01,1.034818549471295951e-01
-5.221937767723618465e-03,1.746994963917746224e-01,-1.305119249703644291e-01,-2.676157546176580193e-01,1.266711421325623643e-01,1.031352121887390422e-01
-6.944899720303692597e-03,1.766511274315720748e-01,-1.307926369577429582e-01,-2.692764628980451325e-01,1.287139705062501360e-01,1.027835307625706435e-01
-8.676100237750445157e-03,1.786142225928712968e-01,-1.310726582576876853e-01,-2.709434296734177239e-01,1.307688321831363965e-01,1.024266193816883996e-01
-1.041551319812804299e-02,1.805888201885160194e-01,-1.313520530644288198e-01,-2.726166191551087081e-01,1.328356836822301712e-01,1.020642997258235096e-01
-1.216311240981262157e-02,1.825749584162976724e-01,-1.316309001925521360e-01,-2.742959956671092159e-01,1.349144818255802181e-01,1.016964062290282161e-01
-1.391887159406633191e-02,1.845726752329295284e-01,-1.319092921224804538e-01,-2.759815236541079964e-01,1.370051838284110646e-01,1.013227858321303909e-01
-1.568276436912037497e-02,1.865820082368734034e-01,-1.321873340537113306e-01,-2.776731676892981171e-01,1.391077473832346145e-01,1.009432977031463202e-01
-1.745476423572648803e-02,1.886029945597798574e-01,-1.324651429684887693e-01,-2.793708924819356398e-01,1.412221307379899760e-01,1.005578129287375139e-01
-1.923484456413336943e-02,1.906356707662899830e-01,-1.327428467084043329e-01,-2.810746628846361173e-01,1.433482927682746821e-01,1.001662141797128314e-01
-2.102297858244204370e-02,1.926800727619385756e-01,-1.330205830662417044e-01,-2.827844439003956434e-01,1.454861930437411632e-01,9.976839535348906718e-02
-2.281913936629234585e-02,1.947362357088902041e-01,-1.332984988951892991e-01,-2.845002006893235236e-01,1.476357918887427068e-01,9.936426119633182119e-02
-2.462329982983138890e-02,1.968041939492346792e-01,-1.335767492373858001e-01,-2.862218985750741296e-01,1.497970504373233591e-01,9.895372690808768024e-02
-2.643543271791383431e-02,1.988839809355644195e-01,-1.338554964735691744e-01,-2.879495030509673925e-01,1.519699306826560459e-01,9.853671773203614981e-02
-2.825551059948334248e-02,2.009756291685537988e-01,-1.341349094954448207e-01,-2.896829797857868316e-01,1.541543955210428751e-01,9.811316853236400071e-02
-3.008350586208431710e-02,2.030791701412593964e-01,-1.344151629022133643e-01,-2.914222946292460148e-01,1.563504087906007756e-01,9.768302336166818922e-02
-3.191939070745308110e-02,2.051946342898602060e-01,-1.346964362225430978e-01,-2.931674136171151246e-01,1.585579353047650297e-01,9.724623502077525683e-02
-3.376313714813798661e-02,2.073220509505581954e-01,-1.349789131631101424e-01,-2.949183029759995245e-01,1.607769408807513678e-01,9.680276461305421798e-02
-3.561471700509830779e-02,2.094614483223609658e-01,-1.352627808846861290e-01,-2.966749291277648859e-01,1.630073923631260024e-01,9.635258109528536952e-02
-3.747410190623259862e-02,2.116128534354715651e-01,-1.355482293065963240e-01,-2.984372586936029914e-01,1.652492576426400628e-01,9.589566082703337990e-02
-3.934126328578769344e-02,2.137762921250132842e-01,-1.358354504402389806e-01,-3.002052584977344396e-01,1.675025056704930460e-01,9.543198712035358411e-02
-4.121617238460065225e-02,2.159517890098215653e-01,-1.361246377522185858e-01,-3.019788955707455869e-01,1.697671064681956499e-01,9.496154979155041476e-02
-4.309880025112663993e-02,2.181393674760391255e-01,-1.364159855575185210e-01,-3.037581371525581719e-01,1.720430311332089568e-01,9.448434471658617717e-02
-4.498911774320689394e-02,2.203390496652548047e-01,-1.367096884430087922e-01,-3.055429506950309015e-01,1.743302518405423773e-01,9.400037339163019867e-02
-4.688709553053177492e-02,2.225508564669322897e-01,-1.370059407214796188e-01,-3.073333038641944959e-01,1.766287418404973442e-01,9.350964250012240575e-02
-4.879270409775505329e-02,2.247748075148790492e-01,-1.373049359162699101e-01,-3.091291645421221368e-01,1.789384754527481025e-01,9.301216348761581765e-02
-5.070591374821646624e-02,2.270109211875119271e-01,-1.376068662764562689e-01,-3.109305008284385941e-01,1.812594280569543026e-01,9.250795214555344870e-02
-5.262669460823075213e-02,2.292592146116806395e-01,-1.379119223224756219e-01,-3.127372810414728588e-01,1.835915760801027086e-01,9.199702820502972389e-02
-5.455501663190226447e-02,2.315197036698162791e-01,-1.382202924219456119e-01,-3.145494737190598911e-01,1.859348969807774754e-01,9.147941494148020825e-02
-5.649084960642535708e-02,2.337924030101777018e-01,-1.385321623953904013e-01,-3.163670476189983649e-01,1.882893692305597222e-01,9.095513879114623668e-02
