L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-2.896676145326593232e-01,1.541965756891791328e-01,9.807959813678464311e-02,-2.835256684863064411e-02,2.010280942604156240e-01,-1.341147099555814459e-01
-2.914062820154930677e-01,1.563916872137292025e-01,9.765043002501036518e-02,-3.018114579888026006e-02,2.031324513117716002e-01,-1.343959081012155443e-01
-2.931507470491016565e-01,1.585982992600022956e-01,9.721463070102227821e-02,-3.201761973633557301e-02,2.052487413962280072e-01,-1.346781369839230302e-01
-2.949009758036496009e-01,1.608163775777684268e-01,9.677216157196845414e-02,-3.386196065552300044e-02,2.073769938376739397e-01,-1.349615806137708374e-01
-2.966569346465664503e-01,1.630458889480540519e-01,9.632299188644335985e-02,-3.571414036102275869e-02,2.095172368224120785e-01,-1.352464264409371231e-01
-2.984185901466083757e-01,1.652868012018441912e-01,9.586709828357170560e-02,-3.757413046604685808e-02,2.116694973677362146e-01,-1.355328646599755493e-01
-3.001859090775484407e-01,1.675390832342041059e-01,9.540446434248747720e-02,-3.944190239189059727e-02,2.138338012958377610e-01,-1.358210875432036557e-01
-3.019588584214932259e-01,1.698027050139921112e-01,9.493508013392376599e-02,-4.131742736820991774e-02,2.160101732127727159e-01,-1.361112888037628865e-01
-3.037374053718245315e-01,1.720776375893411647e-01,9.445894177550975823e-02,-4.320067643407801694e-02,2.181986364922250121e-01,-1.364036629887760976e-01
-3.055215173357671010e-01,1.743638530890925797e-01,9.397605099226155612e-02,-4.509162043977553436e-02,2.203992132638066814e-01,-1.366984049028923676e-01
-3.073111619365828662e-01,1.766613247203699388e-01,9.348641468363763640e-02,-4.699023004926967950e-02,2.226119244056405655e-01,-1.369957090624110696e-01
-3.091063070153952652e-01,1.789700267624852736e-01,9.299004449842182551e-02,-4.889647574333872565e-02,2.248367895409758288e-01,-1.372957691800448798e-01
-3.109069206326469659e-01,1.812899345573731058e-01,9.248695641858582783e-02,-5.081032782329924363e-02,2.270738270385926627e-01,-1.375987776802903295e-01
-3.127129710691965991e-01,1.836210244967507177e-01,9.197717035317837242e-02,-5.273175641529456031e-02,2.293230540167574549e-01,-1.379049252452712315e-01
-3.145244268270600552e-01,1.859632740062049372e-01,9.146070974318269708e-02,-5.466073147510387698e-02,2.315844863504954443e-01,-1.382144003908223340e-01
-3.163412566298044459e-01,1.883166615264066923e-01,9.093760117818461275e-02,-5.659722279343261386e-02,2.338581386819536534e-01,-1.385273890725081392e-01
